#MS[Elapsed time (ms)];ERR[Error];SP[SetPoint];COM[Command];CMD[Cmd];KP[Kp gain];KI[Ki gain];KD[Kd gain];SPE[Speed];SPM[Av. speed]
2090.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2100.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2110.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2120.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2130.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2140.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2150.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2160.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2170.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
2180.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;12.0000
2190.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
2200.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
2210.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;11.0000
2220.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
2230.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
2240.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
2250.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;10.0000
2260.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
2270.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
2280.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;2.0000
2290.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2300.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2310.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2320.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2330.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2340.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2350.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2360.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2370.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2380.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2390.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2400.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2410.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2420.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2430.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2440.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2450.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2460.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2470.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
2480.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
