#MS[Elapsed time (ms)];ERR[Error];SP[SetPoint];COM[Command];CMD[Cmd];KP[Kp gain];KI[Ki gain];KD[Kd gain];SPE[Speed];SPM[Av. speed]
4425.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;22.0000;22.0000
4435.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;22.0000
4445.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;22.0000
4455.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4465.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4475.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4485.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4495.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4505.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4515.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4525.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;100.0000;100.0000
4535.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;22.0000;100.0000
4545.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;22.0000;22.0000
4555.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;22.0000;22.0000
4565.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;22.0000
4575.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;21.0000
4585.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;21.0000
4595.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;21.0000
4605.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4615.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4625.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4635.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;20.0000
4645.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4655.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4665.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4675.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4685.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4695.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4705.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4715.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4725.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4735.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4745.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4755.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4765.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4775.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4785.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
4795.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
4805.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
4815.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
4825.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;20.0000
4835.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;20.0000
4845.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;22.0000;21.0000
4855.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;22.0000;21.0000
