#MS;#ERR;#SP;#COM;#CMD;#KP;#KI;#KD;#SPE;#SPM
#Elapsed time (ms);#Error;#SetPoint;#Command;#Cmd;#Kp gain;#Ki gain;#Kd gain;#Speed;#Av. speed
1079.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1089.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1099.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1109.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1119.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1129.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1139.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1149.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
1159.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
1169.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1179.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
1189.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
1199.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1209.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
1219.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
1229.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1239.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1249.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1259.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1269.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1279.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1289.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1299.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1309.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1319.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1329.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;20.0000
1339.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1349.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1359.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;12.0000
1369.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1379.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1389.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1399.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1409.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;11.0000
1419.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1429.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1439.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1449.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1459.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1469.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1479.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
1489.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
1499.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1509.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1519.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
1529.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
1539.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
1549.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;12.0000
1559.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1569.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1579.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;20.0000;20.0000
1589.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;20.0000
1599.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;20.0000
1609.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;21.0000
1619.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;21.0000;21.0000
