#MS;#ERR;#SP;#COM;#CMD;#KP;#KI;#KD;#SPE;#SPM
#Elapsed time (ms);#Error;#SetPoint;#Command;#Cmd;#Kp gain;#Ki gain;#Kd gain;#Speed;#Av. speed
2961.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
2971.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;10.0000
2981.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
2991.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;2.0000
3001.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
3011.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
3021.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
3031.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;1.0000
3041.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3051.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3061.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3071.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;0.0000
3081.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;0.0000
3091.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
3101.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;1.0000
3111.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;1.0000
3121.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;2.0000
3131.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
3141.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
3151.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
3161.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
3171.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
